primary_type,date,latitude,longitude
WEAPONS VIOLATION,2025-03-16 12:48:00,41.782396402,-87.590927716
BATTERY,2025-03-16 12:45:00,41.654496696,-87.6075549
BATTERY,2025-03-16 12:45:00,41.788366762,-87.774340737
OTHER OFFENSE,2025-03-16 12:45:00,41.920601304,-87.671035667
BATTERY,2025-03-16 12:42:00,41.930728439,-87.758851542
BATTERY,2025-03-16 12:42:00,41.939445447,-87.644380834
OTHER OFFENSE,2025-03-16 12:40:00,41.764581624,-87.561127448
THEFT,2025-03-16 12:40:00,41.899189017,-87.625650736
DECEPTIVE PRACTICE,2025-03-16 12:40:00,41.899189017,-87.625650736
BATTERY,2025-03-16 12:40:00,41.748216428,-87.645183358
THEFT,2025-03-16 12:36:00,41.903996883,-87.643230238
BATTERY,2025-03-16 12:31:00,41.855190551,-87.623871195
BATTERY,2025-03-16 12:30:00,41.690094161,-87.623030124
ROBBERY,2025-03-16 12:25:00,41.923932635,-87.769146299
CRIMINAL TRESPASS,2025-03-16 12:23:00,41.907056567,-87.634586291
CRIMINAL TRESPASS,2025-03-16 12:22:00,41.684943065,-87.652506326
THEFT,2025-03-16 12:16:00,41.68428019,-87.655504296
OTHER OFFENSE,2025-03-16 12:15:00,42.003275954,-87.816941075
MOTOR VEHICLE THEFT,2025-03-16 12:15:00,41.900376594,-87.671083079
BATTERY,2025-03-16 12:11:00,41.892753031,-87.624193896
THEFT,2025-03-16 12:11:00,41.866988841,-87.657205006
BATTERY,2025-03-16 12:10:00,41.822537926,-87.600912912
OTHER OFFENSE,2025-03-16 12:05:00,41.726063374,-87.637276288
THEFT,2025-03-16 12:02:00,41.754592961,-87.741528537
ROBBERY,2025-03-16 12:00:00,41.729618252,-87.551244573
MOTOR VEHICLE THEFT,2025-03-16 12:00:00,41.883828476,-87.728211472
BATTERY,2025-03-16 12:00:00,41.75310656,-87.565047114
CRIMINAL DAMAGE,2025-03-16 12:00:00,41.89368109,-87.656100837
MOTOR VEHICLE THEFT,2025-03-16 12:00:00,41.77168605,-87.702120609
ASSAULT,2025-03-16 11:54:00,41.768816536,-87.584412685
OTHER OFFENSE,2025-03-16 11:54:00,41.78659482,-87.623879974
BATTERY,2025-03-16 11:50:00,41.757583114,-87.635689664
THEFT,2025-03-16 11:39:00,41.975370278,-87.744023432
THEFT,2025-03-16 11:30:00,41.881632203,-87.656283167
CRIMINAL DAMAGE,2025-03-16 11:30:00,41.771450256,-87.667637914
DECEPTIVE PRACTICE,2025-03-16 11:30:00,41.942155511,-87.652456464
ASSAULT,2025-03-16 11:30:00,41.76908018,-87.569849286
ROBBERY,2025-03-16 11:30:00,41.849515692,-87.703958334
OTHER OFFENSE,2025-03-16 11:30:00,41.815753833,-87.678588084
THEFT,2025-03-16 11:18:00,41.924597175,-87.717430811
CRIMINAL TRESPASS,2025-03-16 11:17:00,41.884604507,-87.678094915
CRIMINAL DAMAGE,2025-03-16 11:16:00,41.786969124,-87.648938205
BATTERY,2025-03-16 11:15:00,41.789656207,-87.646251106
OTHER OFFENSE,2025-03-16 11:15:00,41.873939832,-87.630658535
DECEPTIVE PRACTICE,2025-03-16 11:06:00,41.890013771,-87.631705393
BATTERY,2025-03-16 11:06:00,41.701626791,-87.628981995
BATTERY,2025-03-16 11:06:00,41.934091914,-87.760309812
THEFT,2025-03-16 11:04:00,41.895407139,-87.624263706
BATTERY,2025-03-16 11:04:00,41.775741321,-87.615512519
THEFT,2025-03-16 11:03:00,41.772891126,-87.61965751
DECEPTIVE PRACTICE,2025-03-16 11:02:00,41.786343156,-87.697609774
BATTERY,2025-03-16 11:00:00,41.860155012,-87.714022555
OTHER OFFENSE,2025-03-16 11:00:00,41.795760253,-87.65005855
CRIMINAL DAMAGE,2025-03-16 11:00:00,41.894146429,-87.710175647
BATTERY,2025-03-16 11:00:00,41.806744245,-87.66900758
THEFT,2025-03-16 11:00:00,41.868724871,-87.657954043
MOTOR VEHICLE THEFT,2025-03-16 11:00:00,41.769988798,-87.628285981
THEFT,2025-03-16 11:00:00,41.86850295,-87.643700235
BATTERY,2025-03-16 10:45:00,41.832384884,-87.623286482
OTHER OFFENSE,2025-03-16 10:44:00,41.879827197,-87.771385162
BATTERY,2025-03-16 10:43:00,41.690759765,-87.624157804
THEFT,2025-03-16 10:39:00,41.900181244,-87.627241312
THEFT,2025-03-16 10:36:00,41.737750767,-87.604855911
CRIMINAL DAMAGE,2025-03-16 10:35:00,41.883144607,-87.743935241
OTHER OFFENSE,2025-03-16 10:35:00,41.808417911,-87.685767695
BATTERY,2025-03-16 10:32:00,41.742621194,-87.607343845
DECEPTIVE PRACTICE,2025-03-16 10:30:00,41.88922282,-87.630259695
THEFT,2025-03-16 10:13:00,41.765558228,-87.622733535
BATTERY,2025-03-16 10:12:00,42.005519258,-87.662270909
THEFT,2025-03-16 10:10:00,,
THEFT,2025-03-16 10:09:00,41.892462168,-87.628655887
OTHER OFFENSE,2025-03-16 10:01:00,41.724032483,-87.654229461
THEFT,2025-03-16 10:00:00,41.742621194,-87.607343845
BATTERY,2025-03-16 10:00:00,41.820409263,-87.627799195
BATTERY,2025-03-16 10:00:00,41.769232512,-87.68826242
OTHER OFFENSE,2025-03-16 10:00:00,41.78486933,-87.622212339
BATTERY,2025-03-16 10:00:00,,
MOTOR VEHICLE THEFT,2025-03-16 10:00:00,41.850389575,-87.625443789
BURGLARY,2025-03-16 10:00:00,41.667887745,-87.630744337
OTHER OFFENSE,2025-03-16 10:00:00,41.885653759,-87.754363872
BATTERY,2025-03-16 09:57:00,41.953737779,-87.719429652
BATTERY,2025-03-16 09:46:00,41.931582515,-87.742747165
BATTERY,2025-03-16 09:45:00,41.861217161,-87.625687806
ASSAULT,2025-03-16 09:44:00,41.884604507,-87.678094915
THEFT,2025-03-16 09:44:00,41.656657626,-87.605130097
BATTERY,2025-03-16 09:41:00,41.756115887,-87.605326291
CRIMINAL DAMAGE,2025-03-16 09:40:00,41.894440508,-87.719942744
MOTOR VEHICLE THEFT,2025-03-16 09:40:00,41.746940271,-87.585872607
THEFT,2025-03-16 09:39:00,41.678237739,-87.68073427
CRIMINAL TRESPASS,2025-03-16 09:30:00,41.777917021,-87.607132873
CRIMINAL DAMAGE,2025-03-16 09:30:00,41.84714805,-87.638383957
ASSAULT,2025-03-16 09:30:00,41.706987456,-87.620244029
BATTERY,2025-03-16 09:30:00,41.758214815,-87.624119338
NARCOTICS,2025-03-16 09:27:00,41.894208913,-87.718714538
ROBBERY,2025-03-16 09:13:00,41.764707098,-87.624890909
CRIMINAL DAMAGE,2025-03-16 09:10:00,41.938875315,-87.806776382
MOTOR VEHICLE THEFT,2025-03-16 09:00:00,41.802461421,-87.68551959
MOTOR VEHICLE THEFT,2025-03-16 09:00:00,41.700052894,-87.610635124
CRIMINAL DAMAGE,2025-03-16 09:00:00,41.792479343,-87.775240115
THEFT,2025-03-16 09:00:00,41.89411155,-87.675867473
THEFT,2025-03-16 08:58:00,41.737750767,-87.604855911
BATTERY,2025-03-16 08:54:00,41.765018973,-87.600669418
OTHER OFFENSE,2025-03-16 08:50:00,41.988198299,-87.655327998
BATTERY,2025-03-16 08:48:00,41.774972724,-87.756749817
NARCOTICS,2025-03-16 08:40:00,41.870816728,-87.696017114
OTHER OFFENSE,2025-03-16 08:30:00,41.882729021,-87.773306028
