primary_type,date,latitude,longitude,temperature,humidity,wind_speed
THEFT,2025-03-07 20:00:00,41.778681262,-87.637499499,0.97,72,0.45
THEFT,2025-03-07 20:00:00,41.899989717,-87.625105604,0.97,72,0.45
BATTERY,2025-03-07 20:00:00,41.926823206,-87.723171444,0.97,72,0.45
THEFT,2025-03-07 20:00:00,41.789822684,-87.647474083,0.97,72,0.45
BATTERY,2025-03-07 19:58:00,41.731838343,-87.64106442,0.97,72,0.45
BATTERY,2025-03-07 19:45:00,41.889023706,-87.649087622,0.97,72,0.45
ASSAULT,2025-03-07 19:42:00,41.866260112,-87.718457311,0.97,72,0.45
THEFT,2025-03-07 19:40:00,41.776832515,-87.683577859,0.97,72,0.45
ASSAULT,2025-03-07 19:33:00,41.89634807,-87.720001625,0.97,72,0.45
NARCOTICS,2025-03-07 19:30:00,41.707499107,-87.535281677,0.97,72,0.45
THEFT,2025-03-07 19:29:00,41.930946496,-87.788962647,0.97,72,0.45
ASSAULT,2025-03-07 19:12:00,41.838265972,-87.707294242,0.97,72,0.45
BURGLARY,2025-03-07 19:02:00,41.889951816,-87.716522372,0.97,72,0.45
OFFENSE INVOLVING CHILDREN,2025-03-07 19:02:00,41.777988606,-87.764990234,0.97,72,0.45
BURGLARY,2025-03-07 19:00:00,41.798839328,-87.66592789,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 19:00:00,41.889625386,-87.662225562,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 19:00:00,41.821177201,-87.626385646,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 19:00:00,42.008217236,-87.69015119,0.97,72,0.45
BURGLARY,2025-03-07 19:00:00,41.76015578,-87.556752911,0.97,72,0.45
ASSAULT,2025-03-07 18:50:00,41.970966652,-87.742582068,0.97,72,0.45
THEFT,2025-03-07 18:50:00,41.890976131,-87.621752835,0.97,72,0.45
THEFT,2025-03-07 18:45:00,41.816627544,-87.704309791,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 18:45:00,41.891617443,-87.631875153,0.97,72,0.45
ASSAULT,2025-03-07 18:45:00,41.846416501,-87.698307294,0.97,72,0.45
DECEPTIVE PRACTICE,2025-03-07 18:45:00,41.891617443,-87.631875153,0.97,72,0.45
THEFT,2025-03-07 18:44:00,41.91058325,-87.726353375,0.97,72,0.45
THEFT,2025-03-07 18:40:00,41.736262166,-87.627977161,0.97,72,0.45
WEAPONS VIOLATION,2025-03-07 18:34:00,41.892505978,-87.626407653,0.97,72,0.45
BURGLARY,2025-03-07 18:32:00,41.839809174,-87.717106897,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 18:30:00,41.754174689,-87.582153099,0.97,72,0.45
THEFT,2025-03-07 18:30:00,41.892862727,-87.770896286,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 18:27:00,41.89678965,-87.751056726,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 18:25:00,41.977774111,-87.77813772,0.97,72,0.45
THEFT,2025-03-07 18:22:00,41.680967067,-87.544435622,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 18:22:00,,,0.97,72,0.45
NARCOTICS,2025-03-07 18:20:00,41.840696858,-87.716324044,0.97,72,0.45
THEFT,2025-03-07 18:16:00,41.695908161,-87.595822806,0.97,72,0.45
